"Kecamatan" "Kabupaten" "Provinsi" "Region"
"MALANGKE" "KAB. LUWU UTARA" "SULAWESI SELATAN" "SULAWESI"
"MALANGKE BARAT" "KAB. LUWU UTARA" "SULAWESI SELATAN" "SULAWESI"
"MALANGKE TIMUR" "KAB. LUWU" "SULAWESI SELATAN" "SULAWESI"
"MALILI" "KAB. LUWU TIMUR" "SULAWESI SELATAN" "SULAWESI"
"MALIMBONG BALEPE" "KAB. TANA TORAJA" "SULAWESI SELATAN" "SULAWESI"
"MALLAWA" "KAB. MAROS" "SULAWESI SELATAN" "SULAWESI"
"MALLUSETASI" "KAB. BARRU" "SULAWESI SELATAN" "SULAWESI"
"MALUA" "KAB. ENREKANG" "SULAWESI SELATAN" "SULAWESI"
"MANDAI" "KAB. MAROS" "SULAWESI SELATAN" "SULAWESI"
"MANDALLE" "KAB. PANGKEP" "SULAWESI SELATAN" "SULAWESI"
"MANGARABOMBANG" "KAB. TAKALAR" "SULAWESI SELATAN" "SULAWESI"
"MANGGALA" "KAB. GOWA" "SULAWESI SELATAN" "SULAWESI"
"MANGGALA" "KOTA MAKASSAR" "SULAWESI SELATAN" "SULAWESI"
"MANGKENDEK" "KAB. TANA TORAJA" "SULAWESI SELATAN" "SULAWESI"
"MANGKUTANA" "KAB. LUWU TIMUR" "SULAWESI SELATAN" "SULAWESI"
"MANUJU" "KAB. GOWA" "SULAWESI SELATAN" "SULAWESI"
"MAPPAK" "KAB. TANA TORAJA" "SULAWESI SELATAN" "SULAWESI"
"MAPPAKA SUNGGU" "KAB. TAKALAR" "SULAWESI SELATAN" "SULAWESI"
"MAPPEDECENG" "KAB. LUWU UTARA" "SULAWESI SELATAN" "SULAWESI"
"MARANG" "KAB. PANGKEP" "SULAWESI SELATAN" "SULAWESI"
"MARE" "KAB. BONE" "SULAWESI SELATAN" "SULAWESI"
"MARIO RIAWA" "KAB. SOPPENG" "SULAWESI SELATAN" "SULAWESI"
"MARIORIWAWO" "KAB. SOPPENG" "SULAWESI SELATAN" "SULAWESI"
"MARISO" "KOTA MAKASSAR" "SULAWESI SELATAN" "SULAWESI"
"MARITENGNGAE" "KAB. SIDRAP" "SULAWESI SELATAN" "SULAWESI"
"MAROS BARU" "KAB. MAROS" "SULAWESI SELATAN" "SULAWESI"
"MAROS BARU" "KOTA MAKASSAR" "SULAWESI SELATAN" "SULAWESI"
"MARUSU" "KAB. MAROS" "SULAWESI SELATAN" "SULAWESI"
"MASALLE" "KAB. ENREKANG" "SULAWESI SELATAN" "SULAWESI"
"MASAMBA" "KAB. LUWU UTARA" "SULAWESI SELATAN" "SULAWESI"
"MASANDA" "KAB. TANA TORAJA" "SULAWESI SELATAN" "SULAWESI"
"MATTIRO SOMPE" "KAB. PINRANG" "SULAWESI SELATAN" "SULAWESI"
"MATTIROBULU" "KAB. PINRANG" "SULAWESI SELATAN" "SULAWESI"
"MINASA TENE" "KAB. PANGKEP" "SULAWESI SELATAN" "SULAWESI"
"MONCONG LOE" "KAB. MAROS" "SULAWESI SELATAN" "SULAWESI"
"MUNGKAJANG" "KOTA PALOPO" "SULAWESI SELATAN" "SULAWESI"
"NANGGALA" "KAB. TORAJA UTARA" "SULAWESI SELATAN" "SULAWESI"
"NUHA" "KAB. LUWU TIMUR" "SULAWESI SELATAN" "SULAWESI"
"PAJUKUKANG" "KAB. BANTAENG" "SULAWESI SELATAN" "SULAWESI"
"PALAKKA" "KAB. BONE" "SULAWESI SELATAN" "SULAWESI"
"PALANGGA" "KAB. GOWA" "SULAWESI SELATAN" "SULAWESI"
"PALETEANG" "KAB. PINRANG" "SULAWESI SELATAN" "SULAWESI"
"PAMMANA" "KAB. WAJO" "SULAWESI SELATAN" "SULAWESI"
"PANAKUKANG" "KOTA MAKASSAR" "SULAWESI SELATAN" "SULAWESI"
"PANCA LAUTANG" "KAB. SIDRAP" "SULAWESI SELATAN" "SULAWESI"
"PANCA RIJANG" "KAB. SIDRAP" "SULAWESI SELATAN" "SULAWESI"
"PANGKAJENE" "KAB. PANGKEP" "SULAWESI SELATAN" "SULAWESI"
"PARANGLOE" "KAB. GOWA" "SULAWESI SELATAN" "SULAWESI"
"PARIGI" "KAB. GOWA" "SULAWESI SELATAN" "SULAWESI"
"PASIMARANNU" "KAB. SELAYAR" "SULAWESI SELATAN" "SULAWESI"
"PASIMASUNGGU" "KAB. SELAYAR" "SULAWESI SELATAN" "SULAWESI"
"PASIMASUNGGU TIMUR" "KAB. SELAYAR" "SULAWESI SELATAN" "SULAWESI"
"PATIMPENG" "KAB. BONE" "SULAWESI SELATAN" "SULAWESI"
"PATTALASANG" "KAB. GOWA" "SULAWESI SELATAN" "SULAWESI"
"PATTALASANG" "KOTA MAKASSAR" "SULAWESI SELATAN" "SULAWESI"
"PATTALLASSANG" "KAB. TAKALAR" "SULAWESI SELATAN" "SULAWESI"
"PENRANG" "KAB. WAJO" "SULAWESI SELATAN" "SULAWESI"
"PITU RAIWA" "KAB. SIDRAP" "SULAWESI SELATAN" "SULAWESI"
"PITU RIASE" "KAB. SIDRAP" "SULAWESI SELATAN" "SULAWESI"
"PITUMPANUA" "KAB. WAJO" "SULAWESI SELATAN" "SULAWESI"
"POLOMBANGKENG SELATAN" "KAB. TAKALAR" "SULAWESI SELATAN" "SULAWESI"
"POLOMBANGKENG UTARA" "KAB. TAKALAR" "SULAWESI SELATAN" "SULAWESI"
"PONRANG" "KAB. LUWU" "SULAWESI SELATAN" "SULAWESI"
"PONRANG SELATAN" "KAB. LUWU" "SULAWESI SELATAN" "SULAWESI"
"PONRE" "KAB. BONE" "SULAWESI SELATAN" "SULAWESI"
"PUJANANTING" "KAB. BARRU" "SULAWESI SELATAN" "SULAWESI"
"PULAU SEMBILAN" "KAB. SINJAI" "SULAWESI SELATAN" "SULAWESI"
"RAMPI" "KAB. LUWU UTARA" "SULAWESI SELATAN" "SULAWESI"
"RANO" "KAB. TANA TORAJA" "SULAWESI SELATAN" "SULAWESI"
"RANTEBUA" "KAB. TORAJA UTARA" "SULAWESI SELATAN" "SULAWESI"
"RANTEPAO" "KAB. TORAJA UTARA" "SULAWESI SELATAN" "SULAWESI"
"RANTETAYO" "KAB. TANA TORAJA" "SULAWESI SELATAN" "SULAWESI"
"RAPPOCINI" "KOTA MAKASSAR" "SULAWESI SELATAN" "SULAWESI"
"REMBON" "KAB. TANA TORAJA" "SULAWESI SELATAN" "SULAWESI"
"RENDE' PIONGAN NAPO" "KAB. TORAJA UTARA" "SULAWESI SELATAN" "SULAWESI"
"RILAUALE" "KAB. BULUKUMBA" "SULAWESI SELATAN" "SULAWESI"
"RINDINGALLO" "KAB. TORAJA UTARA" "SULAWESI SELATAN" "SULAWESI"
"RUMBIA" "KAB. JENEPONTO" "SULAWESI SELATAN" "SULAWESI"
"SABBANG" "KAB. LUWU UTARA" "SULAWESI SELATAN" "SULAWESI"
"SABBANGPARU" "KAB. WAJO" "SULAWESI SELATAN" "SULAWESI"
"SAD'AN" "KAB. TORAJA UTARA" "SULAWESI SELATAN" "SULAWESI"
"SAJOANGING" "KAB. WAJO" "SULAWESI SELATAN" "SULAWESI"
"SALOMEKKO" "KAB. BONE" "SULAWESI SELATAN" "SULAWESI"
"SALUPUTI" "KAB. TANA TORAJA" "SULAWESI SELATAN" "SULAWESI"
"SANGGALANGI" "KAB. TORAJA UTARA" "SULAWESI SELATAN" "SULAWESI"
"SANGGALLA SELATAN" "KAB. TANA TORAJA" "SULAWESI SELATAN" "SULAWESI"
"SANGGALLA UTARA" "KAB. TANA TORAJA" "SULAWESI SELATAN" "SULAWESI"
"SANROBONE" "KAB. TAKALAR" "SULAWESI SELATAN" "SULAWESI"
"SEGERI" "KAB. PANGKEP" "SULAWESI SELATAN" "SULAWESI"
"SEKO" "KAB. LUWU UTARA" "SULAWESI SELATAN" "SULAWESI"
"SENDANA" "KOTA PALOPO" "SULAWESI SELATAN" "SULAWESI"
"SESEAN" "KAB. TORAJA UTARA" "SULAWESI SELATAN" "SULAWESI"
"SESEAN SULOARA" "KAB. TORAJA UTARA" "SULAWESI SELATAN" "SULAWESI"
"SIBULUE" "KAB. BONE" "SULAWESI SELATAN" "SULAWESI"
"SIMBANG" "KAB. MAROS" "SULAWESI SELATAN" "SULAWESI"
"SIMBUANG" "KAB. TANA TORAJA" "SULAWESI SELATAN" "SULAWESI"
"SINJAI BARAT" "KAB. SINJAI" "SULAWESI SELATAN" "SULAWESI"
"SINJAI BORONG" "KAB. SINJAI" "SULAWESI SELATAN" "SULAWESI"
"SINJAI SELATAN" "KAB. SINJAI" "SULAWESI SELATAN" "SULAWESI"
"SINJAI TENGAH" "KAB. SINJAI" "SULAWESI SELATAN" "SULAWESI"
"SINJAI TIMUR" "KAB. SINJAI" "SULAWESI SELATAN" "SULAWESI"
"SINJAI UTARA" "KAB. SINJAI" "SULAWESI SELATAN" "SULAWESI"
"SINOA" "KAB. BANTAENG" "SULAWESI SELATAN" "SULAWESI"
"SOMBAOPU" "KAB. GOWA" "SULAWESI SELATAN" "SULAWESI"
"SOPAI" "KAB. TORAJA UTARA" "SULAWESI SELATAN" "SULAWESI"
"SOPPENG RIAJA" "KAB. BARRU" "SULAWESI SELATAN" "SULAWESI"
"SOREANG" "KOTA PARE-PARE" "SULAWESI SELATAN" "SULAWESI"
"SUKAMAJU" "KAB. LUWU UTARA" "SULAWESI SELATAN" "SULAWESI"
"SULI" "KAB. LUWU" "SULAWESI SELATAN" "SULAWESI"
"SULI BARAT" "KAB. LUWU" "SULAWESI SELATAN" "SULAWESI"
"SUPPA" "KAB. PINRANG" "SULAWESI SELATAN" "SULAWESI"
"TAKABONERATE" "KAB. SELAYAR" "SULAWESI SELATAN" "SULAWESI"
"TAKALALLA" "KAB. WAJO" "SULAWESI SELATAN" "SULAWESI"
"TALLO" "KOTA MAKASSAR" "SULAWESI SELATAN" "SULAWESI"
"TALLUNGLIPO" "KAB. TORAJA UTARA" "SULAWESI SELATAN" "SULAWESI"
"TAMALANREA" "KOTA MAKASSAR" "SULAWESI SELATAN" "SULAWESI"
"TAMALATE" "KAB. GOWA" "SULAWESI SELATAN" "SULAWESI"
"TAMALATE" "KOTA MAKASSAR" "SULAWESI SELATAN" "SULAWESI"
"TAMALATEA" "KAB. JENEPONTO" "SULAWESI SELATAN" "SULAWESI"
"TAMBOLOPAO" "KAB. GOWA" "SULAWESI SELATAN" "SULAWESI"
"TANASITOLO" "KAB. WAJO" "SULAWESI SELATAN" "SULAWESI"
"TANETE RIAJA" "KAB. BARRU" "SULAWESI SELATAN" "SULAWESI"
"TANETE RILAU" "KAB. BARRU" "SULAWESI SELATAN" "SULAWESI"
"TANETTE RIATANG" "KAB. BONE" "SULAWESI SELATAN" "SULAWESI"
"TANETTE RIATANG BARAT" "KAB. BONE" "SULAWESI SELATAN" "SULAWESI"
"TANETTE RIATTANG TIMUR" "KAB. BONE" "SULAWESI SELATAN" "SULAWESI"
"TANRALILI" "KAB. MAROS" "SULAWESI SELATAN" "SULAWESI"
"TAROWANG" "KAB. JENEPONTO" "SULAWESI SELATAN" "SULAWESI"
"TELLU LIMPOE" "KAB. SINJAI" "SULAWESI SELATAN" "SULAWESI"
"TELLULIMPOE" "KAB. BONE" "SULAWESI SELATAN" "SULAWESI"
"TELLULIMPOE" "KAB. SIDRAP" "SULAWESI SELATAN" "SULAWESI"
"TELLUSIATTINGE" "KAB. BONE" "SULAWESI SELATAN" "SULAWESI"
"TELLUWANUA" "KOTA PALOPO" "SULAWESI SELATAN" "SULAWESI"
"TENPE" "KAB. WAJO" "SULAWESI SELATAN" "SULAWESI"
"TIKALA" "KAB. TORAJA UTARA" "SULAWESI SELATAN" "SULAWESI"
"TIROANG" "KAB. PINRANG" "SULAWESI SELATAN" "SULAWESI"
"TOMONI" "KAB. LUWU TIMUR" "SULAWESI SELATAN" "SULAWESI"
"TOMONI TIMUR" "KAB. LUWU TIMUR" "SULAWESI SELATAN" "SULAWESI"
"TOMPO BULU" "KAB. BANTAENG" "SULAWESI SELATAN" "SULAWESI"
"TOMPOBULLU" "KAB. GOWA" "SULAWESI SELATAN" "SULAWESI"
"TOMPUBULU" "KAB. MAROS" "SULAWESI SELATAN" "SULAWESI"
"TONDON" "KAB. TORAJA UTARA" "SULAWESI SELATAN" "SULAWESI"
"TONDONG TALLASA" "KAB. PANGKEP" "SULAWESI SELATAN" "SULAWESI"
"TONRA" "KAB. BONE" "SULAWESI SELATAN" "SULAWESI"
"TOWUTI" "KAB. LUWU TIMUR" "SULAWESI SELATAN" "SULAWESI"
"TUNGGIMONCONG" "KAB. GOWA" "SULAWESI SELATAN" "SULAWESI"
"TURATEA" "KAB. JENEPONTO" "SULAWESI SELATAN" "SULAWESI"
"TURIKALE" "KAB. MAROS" "SULAWESI SELATAN" "SULAWESI"
"UJUNG" "KOTA PARE-PARE" "SULAWESI SELATAN" "SULAWESI"
"UJUNG BULU" "KAB. BULUKUMBA" "SULAWESI SELATAN" "SULAWESI"
"UJUNG TANAH" "KOTA MAKASSAR" "SULAWESI SELATAN" "SULAWESI"
"UJUNGLOE" "KAB. BULUKUMBA" "SULAWESI SELATAN" "SULAWESI"
"UJUNGPANDANG" "KOTA MAKASSAR" "SULAWESI SELATAN" "SULAWESI"
"ULAWENG" "KAB. BONE" "SULAWESI SELATAN" "SULAWESI"
"ULUERE" "KAB. BANTAENG" "SULAWESI SELATAN" "SULAWESI"
"WAJO" "KOTA MAKASSAR" "SULAWESI SELATAN" "SULAWESI"
"WALENRANG" "KAB. LUWU" "SULAWESI SELATAN" "SULAWESI"
"WALENRANG BARAT" "KAB. LUWU" "SULAWESI SELATAN" "SULAWESI"
"WALENRANG UTARA" "KAB. LUWU" "SULAWESI SELATAN" "SULAWESI"
"WARA" "KOTA PALOPO" "SULAWESI SELATAN" "SULAWESI"
"WARA BARAT" "KOTA PALOPO" "SULAWESI SELATAN" "SULAWESI"
"WARA SELATAN" "KOTA PALOPO" "SULAWESI SELATAN" "SULAWESI"
"WARA TIMUR" "KOTA PALOPO" "SULAWESI SELATAN" "SULAWESI"
"WARA UTARA" "KOTA PALOPO" "SULAWESI SELATAN" "SULAWESI"
"WASUPONDA" "KAB. LUWU TIMUR" "SULAWESI SELATAN" "SULAWESI"
"WATANG PULU" "KAB. SIDRAP" "SULAWESI SELATAN" "SULAWESI"
"WATTANG SAWITO" "KAB. PINRANG" "SULAWESI SELATAN" "SULAWESI"
"WATTANG SIDENRENG" "KAB. SIDRAP" "SULAWESI SELATAN" "SULAWESI"
"WOTU" "KAB. LUWU TIMUR" "SULAWESI SELATAN" "SULAWESI"
"TANALILI" "KAB. LUWU UTARA" "SULAWESI SLEATAN" "SULAWESI"
